Year,Total number of dwelling units ; Victoria ; Houses ; Private Sector ;,Total number of dwelling units ; Victoria ; Houses ; Total Sectors ;,Total number of dwelling units ; Victoria ; Dwellings excluding houses ; Private Sector ;,Total number of dwelling units ; Victoria ; Dwellings excluding houses ; Total Sectors ;,Total number of dwelling units ; Victoria ; Total (Type of Building) ; Private Sector ;,Total number of dwelling units ; Victoria ; Total (Type of Building) ; Total Sectors ;,Total number of dwelling units ; Victoria ; Houses ; Private Sector ;,Total number of dwelling units ; Victoria ; Houses ; Total Sectors ;,Total number of dwelling units ; Victoria ; Total (Type of Building) ; Private Sector ;,Total number of dwelling units ; Victoria ; Total (Type of Building) ; Total Sectors ;,Total number of dwelling units ; Victoria ; Houses ; Private Sector ;,Total number of dwelling units ; Victoria ; Houses ; Total Sectors ;,Total number of dwelling units ; Victoria ; Dwellings excluding houses ; Private Sector ;,Total number of dwelling units ; Victoria ; Dwellings excluding houses ; Total Sectors ;,Total number of dwelling units ; Victoria ; Total (Type of Building) ; Private Sector ;,Total number of dwelling units ; Victoria ; Total (Type of Building) ; Total Sectors ;
Jul-1983,1970,2434,342,402,2312,2836,2031,2419,2373,2821,2156,2421,413,475,2569,2896
Aug-1983,2558,2681,518,603,3076,3284,2239,2350,2757,2953,2186,2435,414,473,2600,2908
Sep-1983,2309,2540,382,431,2691,2971,2240,2446,2622,2877,2218,2452,416,469,2633,2921
Oct-1983,2363,2629,370,396,2733,3025,2292,2580,2662,2976,2246,2466,414,463,2659,2928
Nov-1983,2480,2678,434,486,2914,3164,2248,2502,2682,2988,2270,2476,406,450,2676,2926
Dec-1983,2198,2320,482,505,2680,2825,2337,2471,2819,2976,2302,2496,399,438,2701,2934
Jan-1984,1711,1861,317,397,2028,2258,2198,2388,2515,2785,2348,2535,404,438,2752,2973
Feb-1984,2322,2491,406,424,2728,2915,2400,2580,2806,3004,2414,2598,428,458,2842,3057
Mar-1984,2612,2768,447,454,3059,3222,2598,2753,3045,3207,2497,2683,474,501,2971,3184
Apr-1984,2287,2427,507,512,2794,2939,2618,2851,3125,3363,2583,2775,528,554,3112,3329
May-1984,3025,3324,733,808,3758,4132,2577,2797,3310,3605,2657,2850,586,614,3243,3464
Jun-1984,2632,2850,485,490,3117,3340,2690,2851,3175,3341,2709,2893,637,672,3346,3565
Jul-1984,2852,3046,774,811,3626,3857,2793,2986,3567,3797,2724,2892,669,707,3393,3599
Aug-1984,3034,3231,690,730,3724,3961,2730,2865,3420,3595,2694,2845,669,706,3363,3551
Sep-1984,2563,2663,516,595,3079,3258,2661,2771,3177,3366,2635,2770,640,675,3274,3445
Oct-1984,2997,3126,790,800,3787,3926,2587,2724,3377,3524,2564,2689,598,634,3162,3323
Nov-1984,2646,2812,546,557,3192,3369,2527,2683,3073,3240,2512,2640,564,605,3076,3245
Dec-1984,1989,2063,427,427,2416,2490,2232,2331,2659,2758,2501,2656,550,597,3051,3253
Jan-1985,2115,2287,416,556,2531,2843,2550,2741,2966,3297,2531,2736,553,600,3084,3337
Feb-1985,2488,2683,663,716,3151,3399,2704,2899,3367,3615,2585,2843,566,610,3151,3453
Mar-1985,2566,2806,732,746,3298,3552,2664,2961,3396,3707,2634,2935,578,613,3212,3548
Apr-1985,2613,2955,590,601,3203,3556,2741,3309,3331,3910,2658,2978,587,610,3245,3587
May-1985,2953,3330,520,521,3473,3851,2602,2881,3122,3402,2655,2966,592,605,3247,3571
Jun-1985,2410,2679,458,466,2868,3145,2567,2763,3025,3229,2643,2919,589,602,3232,3520
Jul-1985,2840,2969,642,658,3482,3627,2658,2790,3300,3448,2636,2864,590,610,3226,3474
Aug-1985,2756,3155,683,748,3439,3903,2582,2889,3265,3637,2638,2829,590,620,3228,3449
Sep-1985,2586,2731,570,570,3156,3301,2649,2822,3219,3392,2636,2809,582,620,3218,3429
Oct-1985,3130,3305,583,661,3713,3966,2715,2854,3298,3515,2616,2790,557,598,3173,3388
Nov-1985,2722,2796,481,527,3203,3323,2655,2750,3136,3277,2570,2749,517,558,3087,3306
Dec-1985,2192,2417,491,491,2683,2908,2316,2574,2807,3065,2497,2670,474,515,2970,3185
Jan-1986,2013,2197,309,362,2322,2559,2471,2676,2780,3038,2413,2575,435,478,2848,3053
Feb-1986,2204,2299,567,637,2771,2936,2396,2496,2963,3133,2340,2488,411,456,2752,2944
Mar-1986,1880,1987,365,368,2245,2355,2253,2381,2618,2749,2290,2423,399,443,2689,2867
Apr-1986,2422,2516,364,438,2786,2954,2173,2309,2537,2747,2266,2389,395,436,2661,2825
May-1986,2427,2566,385,446,2812,3012,2233,2356,2618,2802,2255,2383,399,434,2654,2817
Jun-1986,2278,2443,342,465,2620,2908,2392,2508,2734,2973,2249,2393,406,437,2655,2830
Jul-1986,2439,2635,581,612,3020,3247,2246,2414,2827,3026,2253,2421,419,446,2671,2868
Aug-1986,2250,2482,337,355,2587,2837,2217,2437,2554,2792,2265,2454,430,460,2695,2914
Sep-1986,2351,2582,430,469,2781,3051,2214,2475,2644,2944,2272,2476,433,469,2705,2945
Oct-1986,2526,2706,433,508,2959,3214,2260,2413,2693,2921,2273,2482,424,465,2698,2947
Nov-1986,2302,2443,445,456,2747,2899,2363,2539,2808,2995,2264,2464,408,450,2672,2914
Dec-1986,2305,2487,400,454,2705,2941,2324,2531,2724,2985,2242,2422,387,424,2629,2846
Jan-1987,1625,1761,301,348,1926,2109,2091,2233,2392,2581,2206,2359,367,395,2574,2754
Feb-1987,2016,2143,363,365,2379,2508,2175,2294,2538,2659,2161,2287,351,369,2512,2656
Mar-1987,2244,2324,392,392,2636,2716,2165,2255,2557,2647,2124,2226,337,349,2461,2575
Apr-1987,2030,2089,261,263,2291,2352,1989,2054,2250,2317,2105,2189,335,349,2439,2537
May-1987,2303,2383,363,423,2666,2806,2194,2286,2557,2709,2109,2181,340,365,2449,2546
Jun-1987,2199,2270,358,358,2557,2628,2127,2173,2485,2531,2130,2203,348,391,2478,2594
Jul-1987,2236,2402,340,403,2576,2805,2108,2261,2448,2664,2162,2249,353,418,2515,2666
Aug-1987,2225,2253,350,458,2575,2711,2268,2295,2618,2753,2204,2313,354,438,2558,2751
Sep-1987,2369,2504,422,526,2791,3030,2171,2306,2593,2832,2253,2382,351,448,2604,2831
Oct-1987,2527,2663,292,395,2819,3058,2362,2502,2654,2897,2289,2431,346,450,2635,2881
Nov-1987,2279,2480,324,429,2603,2909,2298,2523,2622,2952,2321,2466,342,442,2663,2908
Dec-1987,2439,2557,331,406,2770,2963,2426,2537,2757,2943,2353,2488,336,425,2689,2912
Jan-1988,1769,1815,348,455,2117,2270,2366,2425,2714,2880,2383,2499,327,399,2710,2898
Feb-1988,2202,2287,346,369,2548,2656,2314,2406,2660,2775,2417,2512,319,379,2736,2891
Mar-1988,2542,2690,353,430,2895,3120,2392,2510,2745,2940,2458,2536,317,372,2775,2909
Apr-1988,2609,2651,207,219,2816,2870,2828,2884,3035,3103,2513,2589,319,376,2832,2965
May-1988,2594,2635,291,356,2885,2991,2344,2389,2635,2745,2591,2674,317,380,2908,3054
Jun-1988,2747,2949,396,491,3143,3440,2685,2825,3081,3316,2681,2772,311,380,2992,3152
Jul-1988,2667,2742,350,467,3017,3209,2740,2841,3090,3308,2767,2864,302,376,3069,3240
Aug-1988,3190,3315,295,324,3485,3639,2877,2992,3172,3316,2842,2940,293,370,3135,3310
Sep-1988,3176,3304,182,250,3358,3554,3066,3191,3248,3441,2906,3007,280,355,3186,3362
Oct-1988,2930,2988,217,305,3147,3293,2912,2984,3129,3289,2960,3060,261,332,3221,3392
Nov-1988,3210,3273,337,375,3547,3648,2889,2942,3226,3317,3004,3099,241,301,3245,3401
Dec-1988,2763,2892,282,390,3045,3282,2992,3127,3274,3517,3044,3134,221,269,3265,3404
Jan-1989,2528,2582,175,205,2703,2787,3203,3266,3378,3471,3097,3184,203,244,3300,3427
Feb-1989,2902,3035,91,101,2993,3136,3101,3247,3192,3348,3145,3229,191,229,3336,3458
Mar-1989,2930,2951,229,230,3159,3181,3111,3128,3340,3358,3163,3246,186,231,3349,3477
Apr-1989,3112,3157,164,208,3276,3365,3227,3284,3391,3492,3124,3210,190,249,3314,3459
May-1989,3662,3822,165,311,3827,4133,3115,3281,3280,3592,3018,3109,196,267,3214,3376
Jun-1989,2901,3018,363,578,3264,3596,2846,2920,3209,3498,2859,2953,196,270,3055,3223
Jul-1989,2555,2607,96,163,2651,2770,2670,2749,2766,2912,2679,2772,180,247,2859,3019
Aug-1989,2688,2858,134,185,2822,3043,2409,2554,2543,2739,2512,2598,149,200,2661,2798
Sep-1989,2391,2446,141,145,2532,2591,2386,2449,2527,2594,2381,2457,116,149,2498,2607
Oct-1989,2401,2442,64,64,2465,2506,2224,2269,2288,2333,2297,2368,97,117,2394,2485
Nov-1989,2381,2444,132,183,2513,2627,2238,2282,2370,2465,2249,2326,97,113,2346,2439
Dec-1989,2075,2153,63,88,2138,2241,2361,2440,2424,2528,2214,2305,122,139,2337,2444
Jan-1990,1800,1926,118,119,1918,2045,2145,2297,2263,2416,2180,2286,162,185,2342,2471
Feb-1990,1988,2054,252,275,2240,2329,2116,2188,2368,2463,2136,2257,204,236,2340,2493
Mar-1990,2096,2323,297,355,2393,2678,2041,2254,2338,2609,2083,2211,239,280,2322,2491
Apr-1990,1756,1834,222,222,1978,2056,2070,2152,2292,2374,2023,2148,254,299,2277,2446
May-1990,2350,2426,287,411,2637,2837,1968,2045,2255,2456,1953,2067,244,290,2197,2357
Jun-1990,1871,2094,205,378,2076,2472,1914,2084,2119,2462,1888,1988,221,266,2109,2254
Jul-1990,1843,1880,208,208,2051,2088,1789,1839,1997,2047,1829,1912,200,240,2029,2152
Aug-1990,1930,2004,150,155,2080,2159,1777,1844,1927,1999,1781,1846,191,226,1973,2072
Sep-1990,1633,1678,103,169,1736,1847,1713,1765,1816,1934,1753,1805,192,223,1944,2028
Oct-1990,1913,1970,266,323,2179,2293,1663,1723,1929,2046,1739,1791,192,223,1931,2013
Nov-1990,2018,2077,290,294,2308,2371,1932,1974,2222,2268,1727,1787,184,215,1911,2002
Dec-1990,1343,1363,138,148,1481,1511,1563,1584,1701,1732,1702,1781,172,203,1874,1984
Jan-1991,1532,1618,102,175,1634,1793,1796,1899,1898,2074,1663,1758,156,186,1819,1944
Feb-1991,1497,1699,127,139,1624,1838,1580,1784,1707,1923,1624,1724,143,175,1767,1899
Mar-1991,1385,1459,120,134,1505,1593,1588,1656,1708,1790,1603,1696,138,174,1741,1870
Apr-1991,1523,1576,169,233,1692,1809,1493,1550,1662,1783,1607,1683,144,184,1751,1867
May-1991,1933,1980,219,277,2152,2257,1673,1722,1892,1999,1639,1697,155,201,1795,1898
Jun-1991,1584,1614,96,137,1680,1751,1683,1705,1779,1842,1686,1733,165,219,1851,1952
Jul-1991,2036,2076,188,245,2224,2321,1851,1904,2039,2149,1730,1777,169,233,1899,2009
Aug-1991,1776,1803,156,208,1932,2011,1723,1754,1879,1962,1764,1818,169,242,1933,2060
Sep-1991,1715,1823,165,259,1880,2082,1739,1860,1904,2119,1781,1841,164,243,1945,2083
Oct-1991,2111,2157,193,429,2304,2586,1830,1869,2023,2298,1791,1845,157,235,1948,2080
Nov-1991,1778,1833,161,218,1939,2051,1779,1816,1940,2034,1802,1848,146,222,1948,2070
Dec-1991,1663,1690,97,144,1760,1834,1811,1836,1908,1980,1818,1858,139,210,1957,2068
Jan-1992,1526,1544,123,191,1649,1735,1840,1863,1963,2054,1832,1876,139,206,1972,2081
Feb-1992,1794,1832,145,186,1939,2018,1881,1923,2026,2109,1851,1906,148,211,1999,2118
Mar-1992,1970,2008,170,397,2140,2405,1890,1931,2060,2328,1879,1948,164,224,2043,2173
Apr-1992,1896,2084,167,262,2063,2346,1883,2064,2050,2326,1923,2000,180,237,2103,2237
May-1992,1969,2014,270,277,2239,2291,1898,1945,2168,2222,1982,2053,187,236,2169,2290
Jun-1992,2124,2201,130,165,2254,2366,2055,2111,2185,2276,2046,2105,181,220,2227,2325
Jul-1992,2410,2440,154,198,2564,2638,2236,2272,2390,2470,2106,2146,171,198,2277,2344
Aug-1992,2116,2118,237,241,2353,2359,2128,2131,2365,2372,2156,2186,162,180,2317,2366
Sep-1992,2343,2380,74,100,2417,2480,2139,2184,2213,2284,2184,2228,160,172,2343,2400
Oct-1992,2378,2449,135,138,2513,2587,2241,2315,2376,2453,2190,2273,165,174,2355,2446
Nov-1992,2091,2254,231,335,2322,2589,2116,2240,2347,2575,2182,2313,177,184,2359,2496
Dec-1992,2208,2255,233,233,2441,2488,2239,2280,2472,2513,2168,2338,191,198,2360,2537
Jan-1993,1621,1951,134,139,1755,2090,2152,2569,2286,2708,2155,2344,198,206,2353,2550
Feb-1993,1952,2072,236,264,2188,2336,2065,2179,2301,2443,2141,2324,202,210,2342,2533
Mar-1993,2438,2563,189,200,2627,2763,2196,2321,2385,2521,2128,2280,202,211,2330,2491
Apr-1993,1954,2061,240,242,2194,2303,2081,2181,2321,2423,2120,2232,203,213,2323,2446
May-1993,2228,2297,184,184,2412,2481,2139,2217,2323,2401,2117,2199,211,223,2328,2422
Jun-1993,2232,2320,149,149,2381,2469,2101,2160,2250,2309,2119,2192,226,240,2346,2432
Jul-1993,2210,2255,381,434,2591,2689,2158,2222,2539,2656,2129,2213,254,266,2383,2479
Aug-1993,2250,2306,195,207,2445,2513,2134,2197,2329,2404,2141,2244,292,301,2433,2545
Sep-1993,2284,2455,348,348,2632,2803,2106,2293,2454,2641,2161,2273,337,342,2498,2614
Oct-1993,2272,2363,331,337,2603,2700,2257,2352,2588,2689,2197,2306,369,379,2566,2684
Nov-1993,2354,2491,449,449,2803,2940,2234,2325,2683,2774,2241,2336,370,395,2611,2730
Dec-1993,2105,2173,465,465,2570,2638,2226,2286,2691,2751,2289,2363,354,403,2643,2766
Jan-1994,1785,1802,267,383,2052,2185,2312,2338,2579,2721,2327,2381,340,418,2667,2800
Feb-1994,2343,2391,291,433,2634,2824,2494,2541,2785,2974,2353,2395,332,433,2685,2828
Mar-1994,2559,2595,179,323,2738,2918,2369,2408,2548,2731,2369,2408,336,444,2704,2852
Apr-1994,2021,2091,339,355,2360,2446,2279,2343,2618,2698,2381,2424,341,442,2723,2866
May-1994,2614,2653,721,874,3335,3527,2408,2449,3129,3323,2392,2438,347,429,2738,2866
Jun-1994,2442,2494,191,240,2633,2734,2334,2375,2525,2615,2405,2454,349,410,2754,2864
Jul-1994,2466,2514,229,229,2695,2743,2516,2577,2745,2806,2421,2472,357,403,2778,2875
Aug-1994,2716,2753,448,493,3164,3246,2424,2469,2872,2962,2426,2478,369,410,2795,2888
Sep-1994,2477,2526,133,206,2610,2732,2373,2430,2506,2636,2404,2457,383,426,2788,2883
Oct-1994,2395,2441,724,746,3119,3187,2337,2381,3061,3127,2343,2395,399,453,2742,2848
Nov-1994,2591,2672,343,429,2934,3101,2414,2465,2757,2894,2252,2303,410,478,2663,2781
Dec-1994,1861,1924,542,601,2403,2525,2050,2112,2592,2713,2143,2190,403,484,2547,2675
Jan-1995,1573,1596,101,191,1674,1787,1976,2008,2077,2199,2031,2075,377,462,2409,2538
Feb-1995,1861,1898,369,515,2230,2413,1981,2021,2350,2536,1938,1980,348,434,2287,2414
Mar-1995,1954,1997,463,541,2417,2538,1796,1841,2259,2382,1870,1912,313,400,2183,2312
Apr-1995,1587,1624,246,259,1833,1883,1889,1924,2135,2183,1828,1875,276,363,2104,2237
May-1995,1903,1961,725,821,2628,2782,1683,1739,2408,2560,1801,1855,247,332,2048,2187
Jun-1995,1907,1986,233,340,2140,2326,1900,1968,2133,2308,1775,1835,215,298,1990,2133
Jul-1995,1828,1860,60,190,1888,2050,1802,1840,1862,2030,1740,1804,195,277,1935,2081
Aug-1995,1802,1896,140,209,1942,2105,1605,1717,1745,1926,1708,1770,180,263,1887,2033
Sep-1995,1723,1746,385,393,2108,2139,1677,1702,2062,2095,1677,1734,175,259,1853,1993
Oct-1995,1694,1717,184,285,1878,2002,1612,1630,1796,1915,1639,1687,187,269,1826,1956
Nov-1995,1731,1811,87,275,1818,2086,1631,1684,1718,1959,1594,1632,219,300,1813,1932
Dec-1995,1380,1426,336,398,1716,1824,1589,1625,1925,2023,1541,1572,273,356,1814,1929
Jan-1996,1316,1330,87,189,1403,1519,1577,1597,1664,1786,1491,1519,337,422,1829,1940
Feb-1996,1299,1312,581,619,1880,1931,1320,1337,1901,1956,1444,1472,396,478,1840,1950
Mar-1996,1332,1357,688,762,2020,2119,1305,1336,1993,2098,1412,1442,455,530,1867,1973
Apr-1996,1351,1391,347,479,1698,1870,1496,1532,1843,2011,1403,1435,497,568,1900,2004
May-1996,1541,1594,459,501,2000,2095,1422,1474,1881,1975,1413,1448,524,593,1937,2041
Jun-1996,1436,1458,490,509,1926,1967,1469,1499,1959,2008,1429,1463,549,616,1978,2079
Jul-1996,1513,1548,552,661,2065,2209,1366,1400,1918,2061,1435,1466,573,635,2009,2100
Aug-1996,1584,1608,872,914,2456,2522,1515,1546,2387,2460,1433,1457,589,644,2022,2101
Sep-1996,1480,1488,343,406,1823,1894,1431,1440,1774,1846,1428,1447,605,652,2034,2100
